GEO_ID,NAME,S1903_C03_001E,,
Geography,Geographic Area Name,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,80% AMI,120%AMI
1400000US37027031100,Census Tract 311; Caldwell County; North Carolina,56411,45128.8,67693.2
1400000US37027031201,Census Tract 312.01; Caldwell County; North Carolina,51188,40950.4,61425.6
1400000US37027031202,Census Tract 312.02; Caldwell County; North Carolina,56741,45392.8,68089.2
1400000US37027031301,Census Tract 313.01; Caldwell County; North Carolina,97917,78333.6,117500.4
1400000US37027031302,Census Tract 313.02; Caldwell County; North Carolina,62500,50000,75000
1400000US37027031401,Census Tract 314.01; Caldwell County; North Carolina,78125,62500,93750
1400000US37027031402,Census Tract 314.02; Caldwell County; North Carolina,55804,44643.2,66964.8
1400000US37027031403,Census Tract 314.03; Caldwell County; North Carolina,33564,26851.2,40276.8
1400000US37029950101,Census Tract 9501.01; Camden County; North Carolina,85238,68190.4,102285.6
1400000US37029950102,Census Tract 9501.02; Camden County; North Carolina,74591,59672.8,89509.2
1400000US37031970101,Census Tract 9701.01; Carteret County; North Carolina,48929,39143.2,58714.8
1400000US37031970102,Census Tract 9701.02; Carteret County; North Carolina,64598,51678.4,77517.6
1400000US37031970103,Census Tract 9701.03; Carteret County; North Carolina,56966,45572.8,68359.2
1400000US37031970200,Census Tract 9702; Carteret County; North Carolina,67888,54310.4,81465.6
1400000US37031970301,Census Tract 9703.01; Carteret County; North Carolina,51142,40913.6,61370.4
1400000US37031970304,Census Tract 9703.04; Carteret County; North Carolina,51700,41360,62040
1400000US37031970305,Census Tract 9703.05; Carteret County; North Carolina,52500,42000,63000
1400000US37031970401,Census Tract 9704.01; Carteret County; North Carolina,30080,24064,36096
